,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency
1628,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,298.2,101.325,1037.564285714286,22.4
1630,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,303.2,101.325,1033.6573,21.82
1632,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,308.2,101.325,1029.9992,21.314999999999998
1635,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,313.2,101.325,1026.0595454545455,20.814999999999998
1636,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,318.2,101.325,1022.4053333333333,20.310000000000002
1638,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,323.2,101.325,1018.3738999999999,19.795
1640,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,328.2,101.325,1015.3225,19.29
1690,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,278.2,101.325,973.52,7.681
1691,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,280.6,101.325,970.515,7.603
1692,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,283.2,101.325,967.49,7.51
1693,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,285.6,101.325,964.457,7.437
1694,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,288.2,101.325,960.4390000000001,7.372
1695,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,290.6,101.325,958.368,7.271
1696,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,293.2,101.325,954.4114999999999,7.17
1697,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,295.6,101.325,952.248,7.098
1698,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,298.2,101.325,948.777,7.021
1699,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,300.6,101.325,946.095,6.949
1700,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,303.2,101.325,942.6716666666666,6.84
1701,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,305.6,101.325,939.907,6.739
1702,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,308.2,101.325,936.719,6.651
1703,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,310.6,101.325,933.679,6.57
1704,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,313.2,101.325,930.7526666666666,6.479
1705,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,315.6,101.325,927.406,6.399
1706,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,318.2,101.325,924.0070000000001,6.308
1707,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,320.6,101.325,921.091,6.215
1708,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,323.2,101.325,917.914,6.113
1709,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,325.6,101.325,914.727,6.021
1710,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,328.2,101.325,911.529,5.933
1798,bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,293.2,101.325,1116.8775,31.81
1799,bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,298.2,101.325,1113.1075,30.95
1800,bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,303.2,101.325,1109.5525,30.03
2016,cyclohexanone,C1(CCCCC1)=O,11119-77-0,288.2,101.325,952.1893333333334,16.4
2018,cyclohexanone,C1(CCCCC1)=O,11119-77-0,293.2,101.325,947.7782500000001,16.08
2020,cyclohexanone,C1(CCCCC1)=O,11119-77-0,298.2,101.325,942.2637142857144,15.77
2022,cyclohexanone,C1(CCCCC1)=O,11119-77-0,303.2,101.325,937.7697272727273,15.46
2024,cyclohexanone,C1(CCCCC1)=O,11119-77-0,308.2,101.325,933.7616666666667,15.17
2026,cyclohexanone,C1(CCCCC1)=O,11119-77-0,313.2,101.325,928.963,14.89
2078,cyclopentanone,C1(CCCC1)=O,120-92-3,273.2,101.325,969.1,14.45
2080,cyclopentanone,C1(CCCC1)=O,120-92-3,278.2,101.325,964.3,14.25
2082,cyclopentanone,C1(CCCC1)=O,120-92-3,283.2,101.325,959.5,14.06
2084,cyclopentanone,C1(CCCC1)=O,120-92-3,288.2,101.325,954.345,13.86
2086,cyclopentanone,C1(CCCC1)=O,120-92-3,293.2,101.325,949.9,13.67
2088,cyclopentanone,C1(CCCC1)=O,120-92-3,298.2,101.325,944.5428333333334,13.49
2090,cyclopentanone,C1(CCCC1)=O,120-92-3,303.2,101.325,938.95,13.3
2092,cyclopentanone,C1(CCCC1)=O,120-92-3,308.2,101.325,934.4966666666668,13.13
2094,cyclopentanone,C1(CCCC1)=O,120-92-3,313.2,101.325,929.45,12.95
2112,dibutyl ether,C(CCC)OCCCC,142-96-1,288.2,101.325,772.465,3.186
2113,dibutyl ether,C(CCC)OCCCC,142-96-1,293.2,101.325,768.4352,3.145
2114,dibutyl ether,C(CCC)OCCCC,142-96-1,298.2,101.325,764.0378461538462,3.106
2115,dibutyl ether,C(CCC)OCCCC,142-96-1,303.2,101.325,759.6876,3.068
2116,dibutyl ether,C(CCC)OCCCC,142-96-1,308.2,101.325,755.38,3.031
2138,diethanolamine,N(CCO)CCO,61791-44-4,303.2,101.325,1090.2126666666666,24.69
2139,diethanolamine,N(CCO)CCO,61791-44-4,308.2,101.325,1087.2386666666669,24.3
2141,diethanolamine,N(CCO)CCO,61791-44-4,313.2,101.325,1083.8711428571428,23.86
2142,diethanolamine,N(CCO)CCO,61791-44-4,318.2,101.325,1080.6746666666668,23.28
2144,diethanolamine,N(CCO)CCO,61791-44-4,323.2,101.325,1077.183142857143,22.63
2145,diethanolamine,N(CCO)CCO,61791-44-4,328.2,101.325,1074.4,22.13
2147,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,288.2,101.325,980.3299999999999,2.841
2149,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,298.2,101.325,969.1657142857144,2.834
2151,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,308.2,101.325,957.8914285714285,2.836
2153,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,318.2,101.325,947.665,2.837
2155,diethyl carbonate,C(OCC)(OCC)=O,105-58-8,328.2,101.325,935.14,2.839
2188,diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,313.2,101.325,992.46,13.62
2191,diisopropanolamine,C(C(O)C)NCC(O)C,110-97-4,323.2,101.325,984.48375,13.36
2200,dimethyl carbonate,C(OC)(OC)=O,616-38-6,288.2,101.325,1076.2940000000003,3.131
2202,dimethyl carbonate,C(OC)(OC)=O,616-38-6,298.2,101.325,1063.7465555555555,3.134
2204,dimethyl carbonate,C(OC)(OC)=O,616-38-6,308.2,101.325,1050.0238749999999,3.141
2206,dimethyl carbonate,C(OC)(OC)=O,616-38-6,318.2,101.325,1036.7217500000002,3.147
2208,dimethyl carbonate,C(OC)(OC)=O,616-38-6,328.2,101.325,1022.8686666666666,3.149
2265,ethanol,C(C)O,121182-78-3,288.2,101.325,793.8256296296296,25.92
2269,ethanol,C(C)O,121182-78-3,293.2,101.325,789.6069516129033,25.12
2271,ethanol,C(C)O,121182-78-3,298.0,101.325,785.1,22.8
2272,ethanol,C(C)O,121182-78-3,298.2,101.325,785.6997598039219,24.35
2276,ethanol,C(C)O,121182-78-3,303.2,101.325,781.2996451612905,23.735
2278,ethanol,C(C)O,121182-78-3,308.2,101.325,776.8358793103447,22.87
2300,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,293.2,101.325,913.31,11.76
2301,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,298.2,101.325,908.19,11.5
2302,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,303.2,101.325,903.11,11.19
2469,ethylene glycol,C(CO)O,37221-95-7,303.2,101.325,1106.1345789473683,39.84
2500,formamide,C(=O)N,23296-41-5,303.2,101.325,1124.874,106.14
2545,glycerol,OCC(O)CO,8043-29-6,303.2,101.325,1255.00825,41.17
2555,heptane,CCCCCCC,142-82-5,288.2,101.325,688.1446153846155,1.94
2560,heptane,CCCCCCC,142-82-5,298.2,101.325,679.991626506024,1.93
2565,heptane,CCCCCCC,142-82-5,308.2,101.325,671.0220869565218,1.92
2819,methanol,CO,54841-71-3,288.2,101.325,796.0156190476191,34.62
2822,methanol,CO,54841-71-3,293.2,101.325,791.2908076923076,33.6
2825,methanol,CO,54841-71-3,298.0,101.325,787.0,33.1
2826,methanol,CO,54841-71-3,298.2,101.325,787.0938571428572,32.6
2829,methanol,CO,54841-71-3,303.2,101.325,782.0282321428574,31.65
2831,methanol,CO,54841-71-3,308.2,101.325,777.0474583333333,30.72
2961,methyl sulfoxide,C[S](=O)C,164071-41-4,293.2,101.325,1099.801230769231,47.09
2970,methyl sulfoxide,C[S](=O)C,164071-41-4,303.2,101.325,1090.7659310344827,45.94
2976,methyl sulfoxide,C[S](=O)C,164071-41-4,313.2,101.325,1080.600210526316,44.64
2982,methyl sulfoxide,C[S](=O)C,164071-41-4,323.2,101.325,1070.2986666666666,43.31
3008,methylaniline,CNC1=CC=CC=C1,100-61-8,300.2,101.325,979.8,5.878
3043,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,278.2,101.325,913.925,5.761
3044,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,280.6,101.325,911.466,5.705
3045,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,283.2,101.325,908.991,5.651
3046,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,285.6,101.325,906.513,5.591
3047,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,288.2,101.325,903.7453333333333,5.531
3048,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,290.6,101.325,901.556,5.468
3049,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,293.2,101.325,898.924,5.418
3050,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,295.6,101.325,896.585,5.364
3051,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,298.2,101.325,894.0709999999999,5.31
3052,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,300.6,101.325,891.605,5.264
3053,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,303.2,101.325,889.25275,5.205
3054,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,305.6,101.325,886.611,5.141
3055,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,308.2,101.325,884.42775,5.076
3056,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,310.6,101.325,881.608,5.015
3057,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,313.2,101.325,879.44925,4.961
3058,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,315.6,101.325,876.582,4.901
3059,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,318.2,101.325,874.7556666666666,4.841
3060,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,320.6,101.325,871.546,4.784
3061,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,323.2,101.325,869.019,4.725
3062,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,325.6,101.325,866.488,4.667
3063,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,328.2,101.325,863.951,4.614
3080,n-nonane,CCCCCCCCC,111-84-2,288.2,101.325,721.6304999999999,1.993
3084,n-nonane,CCCCCCCCC,111-84-2,298.2,101.325,713.9806296296296,1.98
3086,n-nonane,CCCCCCCCC,111-84-2,308.2,101.325,706.3634444444444,1.966
3088,n-nonane,CCCCCCCCC,111-84-2,318.2,101.325,698.0982222222223,1.953
3090,n-nonane,CCCCCCCCC,111-84-2,328.2,101.325,690.194375,1.94
3094,n-octane,CCCCCCCC,31372-91-5,288.2,101.325,706.588,1.975
3096,n-octane,CCCCCCCC,31372-91-5,293.2,101.325,702.9239,1.968
3097,n-octane,CCCCCCCC,31372-91-5,298.2,101.325,698.7554821428573,1.961
3098,n-octane,CCCCCCCC,31372-91-5,303.2,101.325,694.5118181818182,1.954
3099,n-octane,CCCCCCCC,31372-91-5,308.2,101.325,690.4316923076924,1.947
3384,propan-1-ol,C(CC)O,71-23-8,288.2,101.325,807.9351111111112,21.87
3386,propan-1-ol,C(CC)O,71-23-8,293.2,101.325,803.6626122448982,21.15
3388,propan-1-ol,C(CC)O,71-23-8,298.0,101.325,799.3333333333334,21.3
3389,propan-1-ol,C(CC)O,71-23-8,298.2,101.325,799.8603206106869,20.45
3390,propan-1-ol,C(CC)O,71-23-8,300.2,101.325,798.5,20.678
3392,propan-1-ol,C(CC)O,71-23-8,303.2,101.325,796.0872352941174,19.78
3393,propan-1-ol,C(CC)O,71-23-8,308.2,101.325,791.976625,19.13
3443,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,278.2,101.325,939.092,6.794
3444,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,280.6,101.325,936.249,6.701
3445,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,283.2,101.325,933.389,6.628
3446,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,285.6,101.325,930.524,6.562
3447,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,288.2,101.325,927.6125,6.489
3448,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,290.6,101.325,924.78,6.422
3449,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,293.2,101.325,921.8295,6.34
3450,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,295.6,101.325,919.015,6.279
3451,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,298.2,101.325,916.0903333333332,6.209
3452,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,300.6,101.325,913.223,6.123
3453,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,303.2,101.325,910.353,6.043
3454,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,305.6,101.325,907.407,5.98
3455,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,308.2,101.325,904.5723333333334,5.893
3456,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,310.6,101.325,901.562,5.817
3457,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,313.2,101.325,898.982,5.743
3458,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,315.6,101.325,895.683,5.664
3459,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,318.2,101.325,892.721,5.587
3460,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,320.6,101.325,889.772,5.512
3461,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,323.2,101.325,886.802,5.434
3462,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,325.6,101.325,883.823,5.362
3463,"propenoic acid, ethyl ester",C(C=C)(=O)OCC,140-88-5,328.2,101.325,880.833,5.291
3544,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,293.2,101.325,1270.8,44.5
3545,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,298.2,101.325,1265.2666666666667,44.0
3546,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,303.2,101.325,1261.6399999999999,43.4
3547,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,308.2,101.325,1256.6999999999998,42.8
3548,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,313.2,101.325,1252.4142857142858,42.2
3549,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,318.2,101.325,1247.25,41.6
3550,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,323.2,101.325,1243.8366666666666,41.1
3551,sulfolane,[S]1(CCCC1)(=O)=O,126-33-0,328.2,101.325,1238.6,40.4
