components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency,"Mass density, kg/m3_uncertainty_std","Mass density, kg/m3_uncertainty_author_weighted","Mass density, kg/m3_uncertainty_author_averaged","Mass density, kg/m3_uncertainty_author_median","Mass density, kg/m3_uncertainty_bestguess","Mass density, kg/m3_counts",Relative permittivity at zero frequency_uncertainty_std,Relative permittivity at zero frequency_uncertainty_author_weighted,Relative permittivity at zero frequency_uncertainty_author_averaged,Relative permittivity at zero frequency_uncertainty_author_median,Relative permittivity at zero frequency_uncertainty_bestguess,Relative permittivity at zero frequency_counts
1-butanol,C(CCC)O,107569-51-7,313.2,101.325,794.2559500000001,15.45,0.3170927183895398,3.534903380399532e-05,0.06851591874999997,0.03,0.3170927183895398,40,,0.03,0.03,0.03,0.03,1
1-pentanol,C(CCCC)O,71-41-0,288.2,101.325,818.540090909091,16.334,0.31441642896057453,0.0006846585457972409,0.016333333333333335,0.005,0.31441642896057453,11,,0.49001999999999996,0.49001999999999996,0.49001999999999996,0.49001999999999996,1
1-pentanol,C(CCCC)O,71-41-0,293.2,101.325,814.638064516129,15.7375,0.5421439501559091,4.993082534010718e-05,0.056478571428571434,0.02,0.5421439501559091,31,0.002121320327483611,0.33384278451840177,0.472125,0.472125,0.33384278451840177,2
1-pentanol,C(CCCC)O,71-41-0,298.2,101.325,811.0341929824563,15.151,0.602747057491258,0.0006533076138480998,0.05214285714285713,0.035,0.602747057491258,57,0.009899494935598859,0.3214011423439855,0.45453,0.45453,0.3214011423439855,2
1-pentanol,C(CCCC)O,71-41-0,303.2,101.325,807.459375,14.572,0.6621264697308592,0.0009400404749354759,0.13140909090909084,0.04,0.6621264697308592,24,0.009899494938469885,0.3091186934658277,0.43716,0.43716,0.3091186934658277,2
1-pentanol,C(CCCC)O,71-41-0,308.2,101.325,803.5091666666667,13.998,0.25415100836028665,0.0006829268915260058,0.03106666666666667,0.03,0.25415100836028665,18,,0.41994,0.41994,0.41994,0.41994,1
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,288.2,101.325,948.982,7.6690000000000005,0.4218056425284557,0.008770580193070292,0.045,0.035,0.4218056425284557,5,0.029698484809667604,0.05422740912731625,0.07669,0.07669,0.05422740912731625,2
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,298.2,101.325,939.088888888889,7.3815,0.4750380100168564,0.008503835609098108,0.06683142857142857,0.05,0.4750380100168564,9,0.0261629509040079,0.05219459527029554,0.073815,0.073815,0.05219459527029554,2
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,308.2,101.325,929.2333333333335,7.118,0.5209862439679288,0.008760837508553828,0.073184,0.05,0.5209862439679288,6,0.00282842712619994,0.050331854724419436,0.07118,0.07118,0.050331854724419436,2
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,318.2,101.325,919.198,6.886,0.5418210037637036,0.00879443128545247,0.065965,0.035,0.5418210037637036,5,,0.06886,0.06886,0.06886,0.06886,1
"2,5,8-trioxanonane",COCCOCCOC,142939-39-7,328.2,101.325,908.94,6.6370000000000005,0.38183766161000116,0.00894427190999916,0.015,0.015,0.38183766161000116,2,,0.06637,0.06637,0.06637,0.06637,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,303.2,101.325,927.7310000000001,20.59,1.1500817360760942,4.9999950000075005e-05,0.03335,0.05,1.1500817360760942,3,,0.2059,0.2059,0.2059,0.2059,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,308.2,101.325,923.5356666666667,20.11,1.1056257654955501,4.9999950000075005e-05,0.03335,0.05,1.1056257654955501,3,,0.2011,0.2011,0.2011,0.2011,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,313.2,101.325,918.79225,19.69,1.3786044575129008,4.999994257073002e-05,0.0479425,0.05,1.3786044575129008,4,,0.1969,0.1969,0.1969,0.1969,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,318.2,101.325,915.09,19.27,1.060015094224201,4.9999950000075005e-05,0.03335,0.05,1.060015094224201,3,,0.1927,0.1927,0.1927,0.1927,1
2-amino-2-methyl-1-propanol,NC(CO)(C)C,189832-99-3,323.2,101.325,910.4209999999999,18.88,1.1789037280927877,4.999994243941407e-05,0.04774250000000001,0.05,1.1789037280927877,4,,0.1888,0.1888,0.1888,0.1888,1
2-aminoethanol,NCCO,9007-33-4,303.2,101.325,1008.55875,31.46,0.831827902302317,0.004419375151451544,0.30259090909090913,0.17,0.831827902302317,12,,0.09437999999999999,0.09437999999999999,0.09437999999999999,0.09437999999999999,1
