,mu,n,neff,sigma,stderr,timestep,error,relerr
0.5,0.9037741777528896,125365.0,5294.389279065451,0.0033100742009712367,4.549145150196649e-05,0.5,0.0,0.0
1.0,0.9036193231164886,223950.0,8993.660641668073,0.003320596986909301,3.501449937594465e-05,1.0,-0.00015485463640096953,-0.00017134217840345287
1.5,0.9032297311683586,157849.0,5817.360487329815,0.0033519698060411494,4.3947796974302184e-05,1.5,-0.0005444465845310109,-0.0006024144060905819
2.0,0.9027456369177488,197815.0,8661.678924142554,0.003298345076652863,3.544010905075548e-05,2.0,-0.001028540835140812,-0.001138050699454744
