,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency
1890,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,293.2,101.325,1041.24775,22.9
1892,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,298.2,101.325,1037.4735,22.4
1894,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,303.2,101.325,1033.795875,21.82
1896,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,308.2,101.325,1029.9992,21.314999999999998
1899,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,313.2,101.325,1026.1193333333333,20.814999999999998
1900,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,318.2,101.325,1022.4053333333333,20.310000000000002
1902,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,323.2,101.325,1018.38075,19.795
1904,N-methyldiethanolamine,CN(CCO)CCO,105-59-9,328.2,101.325,1015.3225,19.29
1988,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,278.2,101.325,973.52,7.681
1989,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,280.6,101.325,970.515,7.603
1990,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,283.2,101.325,967.49,7.51
1991,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,285.6,101.325,964.457,7.437
1992,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,288.2,101.325,960.4390000000001,7.372
1993,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,290.6,101.325,958.368,7.271
1994,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,293.2,101.325,954.4114999999999,7.17
1995,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,295.6,101.325,952.248,7.098
1996,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,298.2,101.325,948.367,7.021
1997,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,300.6,101.325,946.095,6.949
1998,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,303.2,101.325,942.3075,6.84
1999,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,305.6,101.325,939.907,6.739
2000,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,308.2,101.325,936.2284999999999,6.651
2001,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,310.6,101.325,933.679,6.57
2002,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,313.2,101.325,930.129,6.479
2003,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,315.6,101.325,927.406,6.399
2004,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,318.2,101.325,924.0070000000001,6.308
2005,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,320.6,101.325,921.091,6.215
2006,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,323.2,101.325,917.914,6.113
2007,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,325.6,101.325,914.727,6.021
2008,"acrylic acid, methyl ester",C(C=C)(=O)OC,102256-29-1,328.2,101.325,911.529,5.933
2040,"aniline, N-methyl-",CNC1=CC=CC=C1,100-61-8,300.2,101.325,979.8,5.878
2136,bis(2-hydroxyethyl) ether,OCCOCCO,111-46-6,293.2,101.325,1116.8775,31.81
